,name,company,year,price,kms_driven,fuel_type
16726,Toyota Aqua,Toyota ,2013,2375000,64000,Petrol
16727,Honda BR-V,Honda ,2017,2700000,96000,Petrol
16728,Suzuki Wagon,Suzuki ,2019,1669000,9000,Petrol
16729,Toyota Vitz,Toyota ,2005,1380000,190000,Petrol
16730,Toyota Prius,Toyota ,2012,2290000,98000,Hybrid
16731,Toyota Corolla,Toyota ,2017,2050000,47000,Petrol
16732,Toyota Aqua,Toyota ,2014,2250000,110000,Petrol
16733,Suzuki Alto,Suzuki ,2014,1400000,28000,Petrol
16734,Mercedes Benz,Mercedes ,2004,5300000,120000,Petrol
16735,Toyota Corolla,Toyota ,2014,1625000,150000,Petrol
16736,Toyota Vitz,Toyota ,2011,1550000,90000,Petrol
16737,Toyota Corolla,Toyota ,2010,1450000,225000,Petrol
16738,Honda City,Honda ,2018,2270000,27000,Petrol
16739,Toyota Corolla,Toyota ,2015,2600000,67000,Petrol
16740,Honda Civic,Honda ,2004,1150000,160000,Petrol
16741,Nissan Note,Nissan ,2018,2850000,16000,Hybrid
16742,Suzuki Alto,Suzuki ,2015,1385000,75000,Petrol
16743,Honda Civic,Honda ,2018,3600000,24000,Petrol
16744,Toyota Corolla,Toyota ,2019,3875000,16000,Petrol
16745,Suzuki Mehran,Suzuki ,2010,565000,60000,Petrol
16746,Daihatsu Mira,Daihatsu ,2013,1330000,50000,Petrol
16747,Honda Civic,Honda ,2013,2250000,116000,Petrol
16748,Toyota Aqua,Toyota ,2018,3350000,16000,Petrol
16749,Suzuki Wagon,Suzuki ,2018,1470000,50550,Petrol
16750,Suzuki Wagon,Suzuki ,2013,1250000,160000,Petrol
16751,Suzuki Cultus,Suzuki ,2007,550000,63000,Petrol
16752,Suzuki Mehran,Suzuki ,2007,430000,67000,Petrol
16753,Honda Civic,Honda ,2016,3225000,38000,Petrol
16754,Toyota Corolla,Toyota ,2002,950000,120000,Petrol
16755,Suzuki Alto,Suzuki ,2010,730000,161000,Petrol
16756,Toyota Corolla,Toyota ,1995,750000,400000,Petrol
16757,Toyota Corolla,Toyota ,2016,2300000,88000,Petrol
16758,Suzuki Bolan,Suzuki ,2010,650000,60000,Petrol
16759,Nissan Juke,Nissan ,2010,2200000,51000,Petrol
16760,Toyota Corolla,Toyota ,2008,1095000,356000,Petrol
